In a Holidaze | Christina Lauren
Be Free Where You Are | Thich Nhat Hanh
Instagram for Illustrators | Mike Lowrey
Drawn In | Julia Rothman
Japonisme | Erin Niimi Longhurst
Unfamiliar, Vol. 1 | Haley Newsome
Find Your Artistic Voice | Lisa Congdon
Goosebumps #39 How I Got My Shrunken Head | R.L. Stine
You Have Arrived at Your Destination | Amor Towles
Universal Harvester | John Darnielle
Candle Cove and Other Stories | Kris Straub
The Last Conversation | Paul Tremblay
My Best Friend's Exorcism | Grady Hendrix
