Before Your Memory Fades | Toshikazu Kawaguchi | contemporary,spl,scld
Wild Winter | John D. Burns | nature
Matilda | Roald Dahl | kids,owned
Fragrant Palm Leaves | Thich Nhat Hanh | buddhism,owned
Call Me by My True Names | Thich Nhat Hanh | buddhism,poetry,owned
Watch Dogs: Stars & Stripes | Sean Grigsby | hackers
One Robe, One Bowl | Ryōkan | buddhism,poetry
Krampus: The Devil of Christmas | Monte Beauchamp | christmas
Red Team Blues | Cory Doctorow | hackers,owned
Coding Democracy | Maureen Webb | hackers
Flower and Tree Magic | Richard Webster | witchcraft,nature
Corvus: A Life with Birds | Esther Woolfson | birds,nature
What It's Like to Be a Bird | David Allen Sibley | birds,nature,owned
The Backyard Birdwatcher's Bible | Paul Sterry | birds,nature
Gifts of the Crow | John M. Marzluff | birds,nature,spl
BirdNote | BirdNote | birds,nature,spl,scld
Bird Families of North America | Pete Dunne | birds,nature,owned
Around the World in 80 Birds | Mike Unwin | birds,nature,spl,scld
The First Christmas Tree | Henry Van Dyke | christmas,owned
On Christmas Day in the Morning | Grace S. Richmond | christmas,owned
On Christmas Day in the Evening | Grace S. Richmond | christmas,owned
Ninth House | Leigh Bardugo | supernatural,spl,scld
The Haunted Looking Glass | Edward Gorey | ghosts
Hōjōki | Kamo no Chōmei | japan
Krampusnacht: Twelve Nights of Krampus | Kate Wolford | christmas,owned
Hawkins Horrors | Matthew J. Gilbert | horror,owned,stranger-things
The Legend of the Christmas Witch | Daniel Murphy | christmas,spl,scld
How to Sell a Haunted House | Grady Hendrix | horror,spl,scld
Art of Mindful Gardening | Ark Redwood | gardening,buddhism
Low Magick | Lon Milo DuQuette | witchcraft
The Saturday Night Ghost Club | Craig Davidson | ghosts,spl,scld
The Way of the Fearless Writer | Beth Kempton | writing,owned
Love Magic | Lilith Dorsey | witchcraft,owned
Magic When You Need It | Judika Illes | witchcraft
Alchemy of Herbs | Rosalee de la Foret | witchcraft,owned
The Witch's Spellbook | Sarah Bartlett | witchcraft,owned
The Sacred Alignments and Dark Side of Sigils | Robert Podgurski | witchcraft,owned
Hoodoo for Everyone | Sherry Shone | witchcraft,owned
The Ultimate Guide to Witchcraft | Anjou Kiernan | witchcraft,owned
The Path of the Witch | Lidia Pradas | witchcraft,owned
The Wayward Writer | Ariel Gore | writing,witchcraft,owned
Kitchen Witch | Katie Haegele | witchcraft,owned
Healing Magic | Robin Rose Bennett | witchcraft,owned
Postcolonial Astrology | Alice Sparkly Kat | witchcraft,owned
Unfamiliar Familiars | Megan Lynn Kott | witchcraft,owned
Spellcraft for a Magical Year | Sarah Bartlett | witchcraft,owned
Missing Witches | Risa Dickens | witchcraft,owned
You Are a Great and Powerful Wizard | Sage Liskey | witchcraft,owned
Earth Magic | Steven D. Farmer | witchcraft,nature,owned
Witchcraft | Anastasia Greywolf | witchcraft,owned
The Practical Witch's Almanac 2023 | Friday Gladheart | witchcraft,owned
Cosmic Care | Robin Eisenberg | witchcraft,owned
Light Magic for Dark Times | Lisa Marie Basile | witchcraft,owned
Three Ghost Stories | Charles Dickens | ghosts,owned
The Night Circus | Erin Morgenstern | libby,supernatural
Drawing Down the Moon | Margot Adler | witchcraft,libby
The Graveyard Book | Neil Gaiman | libby,ghosts
How to Tell a Story | Meg Bowles | writing,spl,scld
Magick in Theory and Practice | Aleister Crowley | witchcraft
The Dawn of Everything | David Graeber | libby,knowledge
Thistlefoot | GennaRose Nethercott | supernatural,spl,scld
The Midnight Club | Christopher Pike | ghosts,spl,scld
A Tea Witch's Grimoire | S.M. Harlow | witchcraft,kindle-unlimited
Birding Without Borders | Noah Strycker | birds,nature,scld
Mary Newcomb: Drawing from Observation | Tessa Newcomb | art
Marcus Aurelius: A Life | Frank McLynn | philosophy
The Reign Of Antoninus Pius | Ernest Edward Bryant | philosophy
Breverton's Phantasmagoria | Terry Breverton | horror
Mary Poppins Comes Back | P.L. Travers | kids,owned
Adult Children of Emotionally Immature Parents | Lindsay C. Gibson | self,owned
Wherever You Go, There You Are | Jon Kabat-Zinn | buddhism,libby
Christmas Days | Jeanette Winterson | christmas,spl,scld
Life Is Better When You Draw It | Koosje Koene | art
Pooh and the Philosophers | John Tyerman Williams | philosophy
Return to the Hundred Acre Wood | David Benedictus | kids,owned
The Year of the Witching | Alexis Henderson | libby,supernatural
The Witches of New York | Ami McKay | supernatural,spl,scld
Witches of Lychford | Paul Cornell | supernatural
Cinders & Sparrows | Stefan Bachmann | supernatural,spl,scld
Good Omens | Terry Pratchett | libby,supernatural
Threadneedle | Cari Thomas | supernatural,scld
The House Witch | Delemhach | kindle-unlimited,supernatural,scld
The Ruthless Lady's Guide to Wizardry | C.M. Waggoner | supernatural,spl,scld
The Green Sketching Handbook | Ali Foxon | art,owned
Haunting Charlie | Wendy Wang | ghosts
A Year of Mystical Thinking | Emma Howarth | witchcraft,owned
In a Glass Darkly, v. 1/3 | J. Sheridan Le Fanu | ghosts,owned
The Purcell Papers - Volume 1 | J. Sheridan Le Fanu | ghosts,owned
J. S. Le Fanu's Ghostly Tales, Volume 1 | J. Sheridan Le Fanu | ghosts,owned
Ghosts and Marvels | V.H. Collins | ghosts
Witchcraft Today | Gerald B. Gardner | witchcraft
A Witches' Bible | Janet Farrar | witchcraft
Buckland's Complete Book of Witchcraft | Raymond Buckland | witchcraft,spl,scld
The Ten Thousand Doors of January | Alix E. Harrow | libby,supernatural
What Witches Do | Stewart Farrar | witchcraft
The Penguin Book of Witches | Katherine Howe | witchcraft,spl,scld
The Color of Magic | Terry Pratchett | libby,supernatural
An Enchantment of Ravens | Margaret Rogerson | libby,supernatural
Unseelie | Ivelisse Housman | supernatural
American Gods | Neil Gaiman | libby,thriller
If We Were Villains | M.L. Rio | dark-academia,spl,scld
Foucault's Pendulum | Umberto Eco | dark-academia
The Historian | Elizabeth Kostova | libby,dark-academia
Cloud Atlas | David Mitchell | libby,dark-academia
The Stoic Path | Epictetus | philosophy
The Atlas Six | Olivie Blake | libby,dark-academia
The Secret History | Donna Tartt | libby,dark-academia
The Mermaid, the Witch, and the Sea | Maggie Tokuda-Hall | supernatural,spl
The Physick Book of Deliverance Dane | Katherine Howe | supernatural,scld
Toil & Trouble | Jessica Spotswood | supernatural,scld
The Bells of Old Tokyo | Anna Sherman | japan,spl
Mr. Penumbra's 24-Hour Bookstore | Robin Sloan | supernatural,spl,scld
S. | J.J. Abrams | thriller,scld
Tuesday Mooney Talks to Ghosts | Kate Racculia | libby,ghosts,supernatural
In Praise of Shadows | Jun'ichirō Tanizaki | japan,kindle-unlimited,spl
A Book of Tongues | Gemma Files | supernatural,thriller
How to Stop Losing Your Shit with Your Kids | Carla Naumburg | parenting,owned
Building a Second Brain | Tiago Forte | self,spl,scld
Grow Your Own Spices | Tasha Greer | gardening,owned
Sustainable Gardening | Vincent Simeone | gardening,owned
The Urban Garden | Kathy Jentz | gardening,owned
The First-Time Gardener | Jessica Sowards | gardening,owned
Practical Organic Gardening | Mark Highland | gardening,owned
The First-Time Gardener: Raised Bed Gardening | CaliKim | gardening,owned
Mastering the Art of Flower Gardening | Matt Mattus | gardening,owned
Mushroom Cultivation | Tavis Lynch | gardening,owned
Mastering the Art of Vegetable Gardening | Matt Mattus | gardening,owned
Complete Container Herb Gardening | Sue Goetz | gardening,owned
The First-Time Gardener | Sean McManus | gardening,owned
Coffeeland | Augustine Sedgewick | coffee,spl,scld
How to Focus | Thich Nhat Hanh | buddhism,owned
Night Film | Marisha Pessl | horror,spl,scld
Haunted Nights | Ellen Datlow | horror,spl
Rules for Vanishing | Kate Alice Marshall | horror,spl,scld
The Third Hotel | Laura van den Berg | horror,libby
Experimental Film | Gemma Files | horror
Infidel | Pornsak Pichetshote | horror,spl
Clown in a Cornfield | Adam Cesare | horror,scld
Horrorstör | Grady Hendrix | horror,spl,scld
We Sold Our Souls | Grady Hendrix | horror,libby
Daodejing | Laozi | buddhism,spl,scld
The Book Eaters | Sunyi Dean | horror,spl,scld
